lr,model_name,downstream,num_heads,num_layers,optimizer,loss,gamma,alpha,seed,warmup_steps,max_steps,clip_large_grad,mode,finetune_elmo,max_dev,mean_dev,max_train,step_trained
5e-05,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,37.35,32.26,99.07,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,56.29,46.79,100.0,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,6,500,2000,-,res14,True,58.22,50.31,100.0,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,6,500,2000,-,res14,False,46.22,35.93,88.57,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,3.0,0.75,6,500,2000,-,res14,True,57.32,50.11,99.97,2000
1e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,44.11,28.14,66.93,2000
4e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,54.94,45.54,100.0,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,2000,-,res14,True,55.62,47.25,100.0,2000
5e-05,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,48.07,40.64,100.0,1800
5e-05,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,3.0,2.0,6,500,2000,-,res14,True,35.32,30.88,98.63,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,8,500,2000,-,res14,True,55.3,45.75,100.0,2000
3e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,2000,-,res14,True,45.84,36.07,99.76,2000
